R2_mean,R2_std,RMSE_mean,RMSE_std,max_features
0.5064388843281113,0.002985889251212746,41.110846110355936,0.12434088689681187,1
0.5936229871882353,0.0048279399216062755,37.303094278159094,0.22129488770070688,2
0.6707974785159695,0.0037050244475394086,33.574738799364255,0.1888054501399767,3
0.7206584983355505,0.002394693693094252,30.92798874032196,0.13251065397050177,4
0.7527135554952791,0.002221785812910704,29.09937750415554,0.1308322133214136,5
0.770215661368663,0.0019920258356919004,28.05072351931211,0.1215599050508448,6
0.7820188978420889,0.001440871081208635,27.32089874944968,0.09032043836580303,7
0.7904727974919415,0.0016208122254566068,26.78581601455245,0.10376652441232223,8
0.7962649384278514,0.0013046260871693164,26.413052695535136,0.08450284995417891,9
0.8005245563686915,0.001433564860036991,26.13544207690699,0.0938871512993265,10
0.8039772734278653,0.0010952210708661083,25.908331790478485,0.07239910822747826,11
0.806288429159339,0.0012512783783434186,25.755112281217144,0.08321430718014965,12
0.8065295189673852,0.0011930138841542619,25.739092169934388,0.07934707960048687,13
0.8084127311396095,0.0010076634535028512,25.613548651807555,0.06740493347827674,14
0.8091857602484124,0.0008844810882356555,25.56184262752159,0.059254750456373906,15
0.8093587382116636,0.00151815220618422,25.550119800607426,0.10175380683451114,16
0.8099018849347157,0.0017723043568502882,25.513621956501204,0.11897735942309758,17
0.8105937084450442,0.001261243221206464,25.46728957003206,0.08479100170988543,18
0.8101322401786263,0.0011926319327113632,25.49831043488467,0.08008171811562831,19
0.8100924509303669,0.0011852403911201044,25.500983752127325,0.07954486554335202,20
0.8096616509144914,0.0012038856527599629,25.529887921247045,0.0807757751279523,21
0.8086569512134598,0.0011644768223102449,25.597188559863472,0.07787924859030322,22
