R2_mean,R2_std,RMSE_mean,RMSE_std,max_features
0.4159505117044266,0.003182578890018808,46.2490457717923,0.1258651376398298,1
0.4240542615971042,0.003271621672911716,45.927054725417065,0.13039229508851968,2
0.4217799007896545,0.003923862202413836,46.0175672845124,0.1560465691111382,3
0.4167112959544351,0.004523923206286522,46.2187377213738,0.1791834951826847,4
0.407782082891093,0.004716222354979958,46.57114275516996,0.18529623314629007,5
0.4013559310792437,0.006808445334386678,46.82274729475974,0.26605607104894163,6
0.3950026883394318,0.0062016975240479204,47.070691430230724,0.24128425678001242,7
0.3906933054057017,0.005773142088329693,47.23812630990393,0.223774022824766,8
0.38603893322627714,0.006775889477429396,47.418015509510504,0.26147418980018766,9
0.38008039182428355,0.007215695054952048,47.647475438129604,0.27726467753720724,10
0.3777391715000352,0.006593907432628788,47.73750497836577,0.25251480435216184,11
0.37385971563523024,0.007456261836934644,47.885905878272524,0.2847191578865436,12
0.3722095277908887,0.007556097059283167,47.94894759489867,0.2881435367949861,13
0.36838638041575633,0.006730017482168739,48.0949142698974,0.25593743335274066,14
0.36443575801087363,0.007309386387242957,48.244979528684254,0.27707528687405447,15
0.3605344727026233,0.009109428715712738,48.39239925230815,0.34403992150644863,16
0.35715273479398185,0.0067100303178395295,48.52075710871183,0.25275608434186914,17
0.35583105958881095,0.006462327352938955,48.57066025640289,0.24320241451485353,18
0.35172980505336277,0.006892039559674036,48.724958505500936,0.2584730106818267,19
0.34752587714222904,0.00543047454287944,48.88295587113848,0.20308784677372738,20
0.3420005733122612,0.005983814644829091,49.089413242109075,0.22291177367133624,21
0.3348606449408603,0.005812531677489853,49.35506779405106,0.21526315870105212,22
