number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_max_samples,params_min_samples_split,state
40,0.4230287113927075,2026-07-03 11:56:24.253468,2026-07-03 11:56:27.811665,0 days 00:00:03.558197,35,5,0.8396160905884685,7,COMPLETE
41,0.42993786856214944,2026-07-03 11:56:27.811743,2026-07-03 11:56:30.925061,0 days 00:00:03.113318,43,3,0.7592694474138251,6,COMPLETE
42,0.42293381512594247,2026-07-03 11:56:30.925138,2026-07-03 11:56:33.862235,0 days 00:00:02.937097,43,2,0.7457185922273505,6,COMPLETE
43,0.42551944338172765,2026-07-03 11:56:33.862288,2026-07-03 11:56:38.021831,0 days 00:00:04.159543,32,5,0.946502946154663,2,COMPLETE
44,0.4176123998876256,2026-07-03 11:56:38.021908,2026-07-03 11:56:40.913873,0 days 00:00:02.891965,38,1,0.9925859440957906,4,COMPLETE
45,0.4260491977518847,2026-07-03 11:56:40.913949,2026-07-03 11:56:44.011197,0 days 00:00:03.097248,43,3,0.9090029542763982,11,COMPLETE
46,0.39304518723584286,2026-07-03 11:56:44.011274,2026-07-03 11:56:49.017157,0 days 00:00:05.005883,40,11,0.7699465495448152,6,COMPLETE
47,0.4164036397077556,2026-07-03 11:56:49.017237,2026-07-03 11:56:53.189135,0 days 00:00:04.171898,18,7,0.8831423534220957,3,COMPLETE
48,0.42905136924889486,2026-07-03 11:56:53.189214,2026-07-03 11:56:56.529171,0 days 00:00:03.339957,34,4,0.8120453210183991,7,COMPLETE
49,0.41951483638185455,2026-07-03 11:56:56.529222,2026-07-03 11:57:00.316675,0 days 00:00:03.787453,30,6,0.7986254075585305,7,COMPLETE
50,0.36585181403443434,2026-07-03 11:57:00.316729,2026-07-03 11:57:03.190975,0 days 00:00:02.874246,8,5,0.8443800695683221,5,COMPLETE
51,0.4270350217205191,2026-07-03 11:57:03.191027,2026-07-03 11:57:06.612577,0 days 00:00:03.421550,37,4,0.7196373409779814,3,COMPLETE
52,0.4177797621919077,2026-07-03 11:57:06.612630,2026-07-03 11:57:09.529277,0 days 00:00:02.916647,34,1,0.7715981297306611,2,COMPLETE
53,0.42200129566097466,2026-07-03 11:57:09.529354,2026-07-03 11:57:12.370942,0 days 00:00:02.841588,41,2,0.6241719330628908,5,COMPLETE
54,0.43153217540307054,2026-07-03 11:57:12.370990,2026-07-03 11:57:15.580283,0 days 00:00:03.209293,50,3,0.9367720362804769,7,COMPLETE
55,0.4249267592488394,2026-07-03 11:57:15.580358,2026-07-03 11:57:18.919052,0 days 00:00:03.338694,50,4,0.9173022411323223,12,COMPLETE
56,0.42258701223831696,2026-07-03 11:57:18.919105,2026-07-03 11:57:22.532300,0 days 00:00:03.613195,48,6,0.8210801338709461,15,COMPLETE
57,0.4280838968342125,2026-07-03 11:57:22.532376,2026-07-03 11:57:25.671383,0 days 00:00:03.139007,44,3,0.8609240604219438,7,COMPLETE
58,0.42337941654321537,2026-07-03 11:57:25.671434,2026-07-03 11:57:29.164475,0 days 00:00:03.493041,44,5,0.8742694296056774,11,COMPLETE
59,0.3646637257077981,2026-07-03 11:57:29.164552,2026-07-03 11:57:36.199606,0 days 00:00:07.035054,27,17,0.9452609409901932,7,COMPLETE
60,0.4061015027712368,2026-07-03 11:57:36.199659,2026-07-03 11:57:40.269758,0 days 00:00:04.070099,29,8,0.7057784768287991,10,COMPLETE
61,0.429315809133133,2026-07-03 11:57:40.269812,2026-07-03 11:57:43.356879,0 days 00:00:03.087067,47,3,0.7680160314913718,8,COMPLETE
62,0.4274039952671876,2026-07-03 11:57:43.356956,2026-07-03 11:57:46.444484,0 days 00:00:03.087528,24,3,0.7766826943756564,8,COMPLETE
63,0.4262493756880299,2026-07-03 11:57:46.444560,2026-07-03 11:57:49.830192,0 days 00:00:03.385632,47,4,0.8642497659842111,7,COMPLETE
64,0.4262878599221824,2026-07-03 11:57:49.830266,2026-07-03 11:57:52.981794,0 days 00:00:03.151528,44,3,0.8117647975106141,10,COMPLETE
65,0.4252944980411394,2026-07-03 11:57:52.981871,2026-07-03 11:57:56.279388,0 days 00:00:03.297517,46,4,0.9433823753638352,14,COMPLETE
66,0.40624696087725043,2026-07-03 11:57:56.279466,2026-07-03 11:57:59.040375,0 days 00:00:02.760909,50,1,0.6883168016347012,8,COMPLETE
67,0.4051965348066379,2026-07-03 11:57:59.040450,2026-07-03 11:58:01.940885,0 days 00:00:02.900435,44,2,0.8976055669240218,31,COMPLETE
68,0.4202629333279574,2026-07-03 11:58:01.940961,2026-07-03 11:58:05.513514,0 days 00:00:03.572553,42,6,0.6338745869087603,6,COMPLETE
69,0.4283903319898614,2026-07-03 11:58:05.513565,2026-07-03 11:58:08.948985,0 days 00:00:03.435420,49,4,0.8292258710100858,4,COMPLETE
70,0.42650517366034857,2026-07-03 11:58:08.949039,2026-07-03 11:58:12.300740,0 days 00:00:03.351701,49,4,0.8304571433248522,9,COMPLETE
71,0.4298394369773025,2026-07-03 11:58:12.300817,2026-07-03 11:58:15.546482,0 days 00:00:03.245665,46,3,0.7579643642577377,4,COMPLETE
72,0.4267402053876984,2026-07-03 11:58:15.546560,2026-07-03 11:58:19.029745,0 days 00:00:03.483185,46,4,0.7881917841740127,6,COMPLETE
73,0.4241369719620046,2026-07-03 11:58:19.029821,2026-07-03 11:58:21.994583,0 days 00:00:02.964762,49,2,0.9715234172248525,5,COMPLETE
74,0.4208617302993881,2026-07-03 11:58:21.994661,2026-07-03 11:58:25.634709,0 days 00:00:03.640048,45,5,0.7520113939703031,4,COMPLETE
75,0.4306575618347579,2026-07-03 11:58:25.634784,2026-07-03 11:58:28.996292,0 days 00:00:03.361508,39,3,0.9169276614071913,3,COMPLETE
76,0.42472264618923283,2026-07-03 11:58:28.996367,2026-07-03 11:58:32.094528,0 days 00:00:03.098161,39,2,0.909120303989827,3,COMPLETE
77,0.42074909529540766,2026-07-03 11:58:32.094604,2026-07-03 11:58:36.170299,0 days 00:00:04.075695,33,6,0.9301403101317516,4,COMPLETE
78,0.42871974834735693,2026-07-03 11:58:36.170375,2026-07-03 11:58:39.436139,0 days 00:00:03.265764,36,3,0.8062904064404914,3,COMPLETE
79,0.42941602898064435,2026-07-03 11:58:39.436191,2026-07-03 11:58:42.534390,0 days 00:00:03.098199,37,3,0.7370997055079556,3,COMPLETE
80,0.40868612965555745,2026-07-03 11:58:42.534453,2026-07-03 11:58:45.164946,0 days 00:00:02.630493,41,1,0.749503280820365,8,COMPLETE
81,0.42718221581045757,2026-07-03 11:58:45.165023,2026-07-03 11:58:48.275822,0 days 00:00:03.110799,36,3,0.6972339211055397,3,COMPLETE
82,0.4297216940765097,2026-07-03 11:58:48.275906,2026-07-03 11:58:51.450483,0 days 00:00:03.174577,37,3,0.9711501460714195,5,COMPLETE
83,0.4250188499420145,2026-07-03 11:58:51.450560,2026-07-03 11:58:54.520541,0 days 00:00:03.069981,34,2,0.9942787296256916,6,COMPLETE
84,0.4260530790160568,2026-07-03 11:58:54.520617,2026-07-03 11:58:58.057647,0 days 00:00:03.537030,38,4,0.9568621060783952,5,COMPLETE
85,0.42350783908088596,2026-07-03 11:58:58.057701,2026-07-03 11:59:01.678153,0 days 00:00:03.620452,39,5,0.8921245836371939,5,COMPLETE
