index,Code,year,n_days,mean,std,min,max
23,1025A,2016,366,70.09,53.4,7.58,342.25
23,1025A,2017,116,82.79,59.65,12.54,303.17
24,1026A,2015,359,63.51,47.24,8.67,305.88
24,1026A,2016,364,58.59,45.62,4.33,296.55
24,1026A,2017,365,57.87,41.91,7.71,260.67
24,1026A,2018,360,47.1,35.31,4.58,249.5
24,1026A,2019,364,48.21,36.99,4.75,248.5
25,1027A,2015,357,84.97,55.61,13.39,393.83
25,1027A,2016,365,84.91,54.97,10.17,319.12
25,1027A,2017,362,71.46,48.65,7.68,274.46
25,1027A,2018,360,59.44,41.73,7.0,293.62
25,1027A,2019,359,56.24,42.02,3.77,252.59
26,1036A,2015,364,80.97,51.98,3.43,304.04
26,1036A,2016,366,69.98,53.27,6.92,335.74
26,1036A,2017,365,61.56,44.01,12.71,281.25
26,1036A,2018,360,58.41,37.39,14.08,339.26
26,1036A,2019,363,53.39,37.54,8.5,274.46
27,1037A,2015,364,84.2,57.01,2.48,371.52
27,1037A,2016,366,75.22,58.87,8.57,386.3
27,1037A,2017,365,64.85,47.82,11.21,322.54
27,1037A,2018,360,58.23,38.2,13.04,347.7
27,1037A,2019,364,52.84,37.15,9.54,281.79
28,1038A,2015,353,81.06,50.63,8.22,302.17
28,1038A,2016,366,70.49,57.18,8.58,369.78
28,1038A,2017,365,65.26,47.3,10.83,295.17
28,1038A,2018,360,59.49,38.58,15.29,350.39
28,1038A,2019,363,52.74,36.94,6.32,279.67
29,1039A,2015,364,84.99,57.75,4.43,347.29
29,1039A,2016,366,73.12,58.79,8.62,368.63
29,1039A,2017,365,68.72,50.21,12.0,319.71
29,1039A,2018,360,62.85,39.61,16.04,348.3
29,1039A,2019,361,53.96,37.01,8.25,281.92
30,1040A,2015,364,88.13,55.56,3.9,321.38
30,1040A,2016,366,80.29,59.21,9.08,393.68
30,1040A,2017,365,71.75,48.27,17.21,297.3
30,1040A,2018,360,60.61,40.64,7.92,366.57
30,1040A,2019,364,57.12,38.82,5.0,276.33
31,1041A,2015,364,88.77,57.49,5.13,338.92
