index,Code,year,n_days,mean,std,min,max
110,1730A,2016,366,66.98,44.99,8.39,280.62
110,1730A,2017,365,63.18,35.4,7.5,257.29
110,1730A,2018,360,54.09,34.01,6.52,217.71
110,1730A,2019,364,48.32,35.27,6.08,286.33
111,1731A,2015,364,67.53,47.26,12.29,365.44
111,1731A,2016,366,74.91,57.27,8.38,380.42
111,1731A,2017,363,66.17,37.56,7.0,276.63
111,1731A,2018,360,56.0,36.1,5.9,224.29
111,1731A,2019,364,48.75,34.67,6.0,305.38
112,1738A,2015,363,59.68,43.55,8.0,258.31
112,1738A,2016,362,61.83,42.29,4.0,226.04
112,1738A,2017,365,65.88,41.59,9.42,281.12
112,1738A,2018,360,57.88,35.68,13.58,210.67
112,1738A,2019,364,48.18,34.93,9.12,200.25
113,1739A,2015,363,46.74,39.5,5.6,274.25
113,1739A,2016,366,55.64,40.58,3.17,216.25
113,1739A,2017,360,63.79,37.93,13.71,284.92
113,1739A,2018,360,51.32,31.91,10.0,215.33
113,1739A,2019,364,46.88,34.96,8.62,210.9
114,1740A,2015,364,67.58,55.31,7.24,353.29
114,1740A,2016,366,78.26,51.96,7.81,334.42
114,1740A,2017,365,70.24,43.0,17.88,284.58
114,1740A,2018,360,65.0,41.71,13.25,250.74
114,1740A,2019,364,54.4,36.75,14.19,211.0
115,1741A,2015,364,63.42,46.79,8.23,322.12
115,1741A,2016,366,70.18,45.83,10.65,323.04
115,1741A,2017,346,71.71,42.77,16.96,269.04
115,1741A,2018,360,66.5,40.78,12.04,234.75
115,1741A,2019,364,58.12,37.73,9.58,222.65
116,1742A,2015,364,50.67,41.91,3.5,255.62
116,1742A,2016,365,61.25,44.9,6.91,251.29
116,1742A,2017,365,61.62,37.8,10.73,262.58
116,1742A,2018,360,59.32,35.9,14.71,225.79
116,1742A,2019,364,49.2,33.85,11.36,196.08
117,1743A,2015,363,37.05,31.02,1.45,206.19
117,1743A,2016,366,42.2,32.53,3.92,196.27
117,1743A,2017,363,48.95,33.09,3.62,241.0
117,1743A,2018,359,53.31,37.47,2.54,253.33
117,1743A,2019,364,50.46,36.64,8.79,207.92
118,1818A,2015,364,88.78,78.81,17.35,806.62
118,1818A,2016,365,82.14,76.95,8.58,706.13
118,1818A,2017,365,75.63,60.83,9.0,338.33
118,1818A,2018,360,69.99,58.9,11.88,412.05
118,1818A,2019,363,68.63,60.77,8.0,369.6
119,1819A,2015,220,76.22,71.63,14.65,540.58
119,1819A,2016,366,82.67,73.05,13.62,642.78
119,1819A,2017,365,86.15,60.6,9.05,354.04
119,1819A,2018,360,74.94,56.28,9.0,370.61
119,1819A,2019,364,72.42,61.01,2.75,355.79
120,1820A,2015,364,95.66,88.4,11.64,753.9
120,1820A,2016,366,83.73,84.32,8.33,854.0
120,1820A,2017,365,80.31,61.44,11.25,331.08
120,1820A,2018,360,72.35,56.88,13.27,361.38
120,1820A,2019,364,69.31,60.11,4.79,369.92
121,1822A,2015,363,99.55,65.52,15.3,483.68
121,1822A,2016,366,88.64,73.08,10.88,628.78
121,1822A,2017,365,80.94,59.96,15.83,373.33
121,1822A,2018,359,76.99,57.62,17.96,360.3
121,1822A,2019,363,76.79,65.71,9.71,385.17
122,1823A,2015,364,75.51,59.42,12.81,559.71
122,1823A,2016,366,72.58,59.42,7.38,544.46
122,1823A,2017,337,66.98,47.74,11.09,290.96
122,1823A,2018,9,81.32,58.89,15.0,203.41
123,1824A,2015,364,77.55,58.0,14.52,482.25
123,1824A,2016,366,72.2,59.27,10.96,502.54
123,1824A,2017,365,66.94,45.08,9.71,280.71
123,1824A,2018,360,64.9,50.89,7.19,325.77
123,1824A,2019,361,60.25,47.88,8.55,264.26
124,1825A,2015,364,70.52,53.89,9.13,522.54
124,1825A,2016,366,71.1,58.47,12.29,556.67
124,1825A,2017,365,68.44,46.01,10.62,272.29
124,1825A,2018,330,67.34,56.08,5.62,335.81
124,1825A,2019,74,124.18,68.06,17.25,280.54
125,1826A,2015,364,75.21,58.22,14.09,522.21
125,1826A,2016,366,69.57,56.12,10.17,475.06
125,1826A,2017,364,68.06,46.74,10.62,282.83
125,1826A,2018,360,64.29,52.05,6.0,340.43
125,1826A,2019,364,59.76,49.72,10.0,271.88
126,1827A,2015,361,87.82,59.95,4.62,348.73
126,1827A,2016,366,80.32,66.19,10.33,529.16
126,1827A,2017,365,74.29,52.11,19.38,386.0
126,1827A,2018,195,77.92,50.75,20.04,336.58
127,1828A,2015,364,77.63,54.92,10.65,371.27
127,1828A,2016,366,79.38,65.54,6.5,566.42
127,1828A,2017,365,76.29,54.75,20.79,372.71
127,1828A,2018,360,64.89,45.86,11.17,335.75
127,1828A,2019,363,61.8,47.74,12.5,244.58
128,1829A,2015,362,94.63,66.58,7.67,463.8
128,1829A,2016,365,92.21,83.97,6.08,621.21
128,1829A,2017,365,79.25,52.73,15.29,358.39
128,1829A,2018,360,68.57,46.83,10.33,332.58
128,1829A,2019,345,66.2,50.69,14.35,251.42
129,1830A,2015,352,87.87,66.15,6.33,434.05
129,1830A,2016,365,90.42,76.9,11.12,582.38
129,1830A,2017,365,70.65,48.8,14.58,359.17
129,1830A,2018,360,61.76,40.2,11.0,329.64
129,1830A,2019,364,55.57,42.92,9.62,232.85
130,2160A,2015,364,61.47,39.23,6.39,231.08
130,2160A,2016,365,63.04,52.03,5.42,315.78
130,2160A,2017,365,69.41,41.73,9.86,237.25
130,2160A,2018,360,62.52,44.33,7.27,340.55
130,2160A,2019,364,56.55,39.22,7.1,218.04
131,2161A,2015,364,55.59,40.0,6.22,223.95
131,2161A,2016,365,61.2,50.39,6.83,288.52
131,2161A,2017,365,63.92,36.41,8.81,243.25
131,2161A,2018,360,59.17,39.27,5.71,248.18
131,2161A,2019,364,53.75,37.34,6.5,213.92
132,2163A,2015,364,53.56,39.55,6.05,235.96
132,2163A,2016,366,59.18,49.5,5.92,327.74
132,2163A,2017,365,64.46,41.01,7.47,253.5
132,2163A,2018,360,58.88,43.93,4.38,355.43
132,2163A,2019,364,55.72,40.35,6.3,233.42
133,2164A,2015,364,55.14,43.81,4.05,273.25
133,2164A,2016,365,63.48,54.5,2.22,289.57
133,2164A,2017,365,62.88,36.35,8.56,231.25
133,2164A,2018,360,60.35,39.87,6.83,240.17
133,2164A,2019,364,52.71,36.98,5.59,213.96
134,2165A,2015,364,56.61,38.13,5.78,243.96
134,2165A,2016,347,57.14,45.87,5.32,270.3
134,2165A,2017,364,59.35,37.17,5.76,251.67
134,2165A,2018,359,56.42,40.75,5.0,286.43
134,2165A,2019,360,49.21,39.14,2.8,211.17
135,2386A,2015,364,69.64,52.97,9.61,413.87
135,2386A,2016,366,72.56,62.42,9.25,503.91
135,2386A,2017,365,65.63,46.25,18.71,308.29
135,2386A,2018,360,56.84,39.35,14.88,236.42
135,2386A,2019,364,71.14,55.17,13.25,308.79
136,2387A,2015,364,68.27,50.51,11.78,365.05
136,2387A,2016,366,65.78,54.92,7.88,446.7
136,2387A,2017,365,64.08,43.96,19.42,301.08
136,2387A,2018,360,54.95,37.75,14.17,226.21
136,2387A,2019,364,59.7,50.45,4.12,285.55
137,2388A,2015,364,93.45,65.43,14.04,703.62
137,2388A,2016,365,83.23,69.03,12.58,631.75
137,2388A,2017,125,87.77,53.38,20.67,288.58
138,2389A,2015,364,94.93,64.9,11.59,623.25
138,2389A,2016,366,84.88,67.62,14.17,632.75
138,2389A,2017,365,65.76,41.97,17.21,276.43
138,2389A,2018,360,62.34,41.24,11.76,296.33
138,2389A,2019,363,54.19,42.49,10.13,218.29
139,2391A,2015,364,92.76,70.05,10.04,737.96
139,2391A,2016,365,84.29,67.82,11.38,621.58
139,2391A,2017,365,64.96,44.33,16.17,291.04
139,2391A,2018,359,62.09,41.52,10.52,250.45
139,2391A,2019,363,61.78,47.52,6.95,241.5
140,2393A,2015,363,83.71,56.61,19.09,468.38
140,2393A,2016,277,59.3,48.24,10.08,475.21
141,2394A,2015,364,82.5,58.53,12.26,519.62
141,2394A,2016,366,69.44,57.32,8.21,516.42
141,2394A,2017,365,72.98,55.63,2.54,330.08
141,2394A,2018,352,66.5,52.69,10.42,330.14
141,2394A,2019,363,68.9,62.78,6.5,530.57
142,2395A,2015,363,82.94,61.48,12.26,453.79
142,2395A,2016,366,69.42,59.4,4.88,549.67
142,2395A,2017,365,68.81,51.52,7.54,348.33
142,2395A,2018,360,60.96,47.41,12.48,313.74
142,2395A,2019,355,62.28,56.47,8.39,453.0
143,2845A,2015,253,63.68,35.74,10.71,272.11
143,2845A,2016,366,58.19,39.52,7.17,283.71
143,2845A,2017,365,55.33,28.78,6.92,191.08
143,2845A,2018,360,49.52,31.16,7.63,214.17
143,2845A,2019,364,43.5,30.48,6.67,278.29
144,2858A,2017,334,62.14,41.65,8.47,402.82
144,2858A,2018,360,50.01,36.29,6.67,291.58
144,2858A,2019,364,49.03,37.81,5.27,238.25
145,2859A,2017,334,60.95,41.1,6.71,230.08
145,2859A,2018,360,53.32,38.18,6.29,267.62
145,2859A,2019,364,52.47,41.47,3.67,282.92
146,2860A,2017,334,57.73,41.75,7.8,321.62
146,2860A,2018,360,51.52,38.27,4.84,271.27
146,2860A,2019,364,50.74,40.17,7.4,258.62
147,2878A,2017,334,68.75,39.69,10.27,276.5
147,2878A,2018,359,63.58,43.06,6.61,274.04
147,2878A,2019,364,60.09,42.32,5.67,252.25
148,2919A,2017,334,51.43,40.87,8.92,254.21
148,2919A,2018,360,46.98,36.82,8.3,276.0
148,2919A,2019,364,43.68,38.18,4.61,316.17
149,2922A,2017,334,52.44,37.94,7.52,247.73
149,2922A,2018,360,51.68,39.14,7.67,296.54
149,2922A,2019,363,53.91,41.94,5.0,271.12
150,3020A,2017,334,56.02,43.01,4.38,256.79
150,3020A,2018,359,49.91,39.37,3.0,305.57
150,3020A,2019,364,50.13,40.8,3.6,262.83
151,3021A,2017,334,62.98,42.86,6.12,262.13
151,3021A,2018,360,65.57,51.63,7.38,327.92
151,3021A,2019,364,62.44,59.84,4.36,402.09
152,3051A,2017,195,55.07,34.68,9.86,204.67
152,3051A,2018,360,52.09,36.86,8.07,277.58
152,3051A,2019,364,51.87,38.62,7.32,246.5
153,3054A,2017,215,53.71,29.75,19.22,189.41
153,3054A,2018,360,57.43,38.21,12.62,256.58
153,3054A,2019,363,52.74,41.6,9.08,215.38
154,3066A,2017,197,58.11,34.46,6.0,244.38
154,3066A,2018,360,54.57,38.1,4.06,228.92
154,3066A,2019,364,51.95,42.71,3.35,299.38
155,3132A,2017,79,46.0,32.98,12.17,177.0
155,3132A,2018,359,35.29,28.89,4.62,189.96
155,3132A,2019,364,38.62,32.89,4.96,252.46
156,3141A,2017,23,110.67,75.84,21.79,286.09
156,3141A,2018,360,69.03,55.36,10.43,373.52
156,3141A,2019,364,67.29,57.53,4.0,367.71
