index,cemetery_100m,commercial_100m,farmland_100m,forest_100m,grass_100m,industrial_100m,meadow_100m,military_100m,nature_reserve_100m,park_100m,recreation_ground_100m,residential_100m,retail_100m,scrub_100m,cemetery_500m,commercial_500m,farmland_500m,farmyard_500m,forest_500m,grass_500m,industrial_500m,meadow_500m,military_500m,nature_reserve_500m,orchard_500m,park_500m,recreation_ground_500m,residential_500m,retail_500m,scrub_500m,cemetery_1000m,commercial_1000m,farmland_1000m,farmyard_1000m,forest_1000m,grass_1000m,industrial_1000m,meadow_1000m,military_1000m,nature_reserve_1000m,orchard_1000m,park_1000m,recreation_ground_1000m,residential_1000m,retail_1000m,scrub_1000m,cemetery_1500m,commercial_1500m,farmland_1500m,farmyard_1500m,forest_1500m,grass_1500m,industrial_1500m,meadow_1500m,military_1500m,nature_reserve_1500m,orchard_1500m,park_1500m,quarry_1500m,recreation_ground_1500m,residential_1500m,retail_1500m,scrub_1500m,cemetery_2000m,commercial_2000m,farmland_2000m,farmyard_2000m,forest_2000m,grass_2000m,industrial_2000m,meadow_2000m,military_2000m,nature_reserve_2000m,orchard_2000m,park_2000m,quarry_2000m,recreation_ground_2000m,residential_2000m,retail_2000m,scrub_2000m
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31365.484905392423,31365.484905392423,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568274.2452725784,784137.1226362892,7057234.103726603,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,3136548.4905459774,6273096.981091955,0.0,0.0,0.0,0.0,0.0,18819290.943275865,6273096.981091955,69004066.7920115,0.0,0.0,0.0,14114468.20745628,0.0,0.0,35286170.5186407,14114468.20745628,7057234.10372814,0.0,0.0,0.0,0.0,77629575.14100954,0.0,14114468.20745628,275232130.04539746,0.0,0.0,0.0,50184775.8487389,0.0,0.0,62730969.81092363,50184775.8487389,25092387.92436945,0.0,0.0,0.0,0.0,188192909.43277088,0.0,25092387.92436945,765317831.6932683,12546193.962184723,0.0
1,0.0,0.0,0.0,31365.484905392423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7057234.10372814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7057234.10372814,0.0,0.0,0.0,0.0,0.0,0.0,25092387.92436945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12546193.962184723,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125461.9396215697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,10977919.716908049,0.0,0.0,0.0,25092387.92436782,0.0,0.0,6273096.981091955,6273096.981091955,6273096.981091955,0.0,0.0,0.0,0.0,21955839.43382184,0.0,119188842.64074714,0.0,0.0,0.0,127030213.86710653,0.0,0.0,35286170.5186407,176430852.59320349,14114468.20745628,0.0,0.0,0.0,0.0,112915745.65965024,0.0,0.0,437548514.4311447,0.0,0.0,0.0,326201043.01680285,0.0,0.0,163100521.50840142,526940146.4117585,25092387.92436945,0.0,0.0,0.0,0.0,263470073.20587924,0.0,0.0,1028787904.8991476,25092387.92436945,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31365.484905392423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1568274.2452725784,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,6273096.981091955,0.0,0.0,0.0,0.0,0.0,0.0,18819290.943275865,0.0,34502033.39600575,0.0,0.0,0.0,14114468.20745628,0.0,0.0,14114468.20745628,0.0,0.0,0.0,0.0,0.0,0.0,56457872.82982512,0.0,0.0,155259150.28201908,7057234.10372814,0.0,0.0,37638581.886554174,0.0,0.0,75277163.77310835,0.0,0.0,0.0,0.0,0.0,0.0,200739103.3949556,0.0,37638581.886554174,376385818.86554176,12546193.962184723,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31365.484905392423,0.0,31365.484905392423,0.0,0.0,0.0,784137.1226362892,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,2352411.3679088675,0.0,5488959.858454024,0.0,0.0,0.0,9409645.471637933,0.0,0.0,18819290.943275865,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,15682742.452729886,0.0,62730969.810919546,3136548.4905459774,0.0,0.0,35286170.5186407,0.0,0.0,63515106.933553256,7057234.10372814,14114468.20745628,0.0,0.0,0.0,0.0,77629575.14100954,0.0,7057234.10372814,239945959.5267568,14114468.20745628,7057234.10372814,0.0,138008133.58403197,0.0,0.0,150554327.5462167,25092387.92436945,50184775.8487389,12546193.962184723,0.0,0.0,0.0,288562461.13024867,0.0,12546193.962184723,614763504.1470516,62730969.81092363,25092387.92436945
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136548.490545157,0.0,4704822.735817735,3920685.613181446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,21955839.43382184,0.0,84686809.2447414,43911678.86764368,0.0,0.0,49400638.72609698,0.0,0.0,0.0,0.0,0.0,7057234.10372814,14114468.20745628,0.0,0.0,91744043.34846582,0.0,0.0,303461066.46031,148201916.17829093,0.0,0.0,112915745.65966251,0.0,0.0,0.0,138008133.58403197,12546193.962184723,12546193.962184723,37638581.886554174,0.0,0.0,276016267.16806394,0.0,0.0,966056935.0882238,326201043.01680285,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,2352411.3679088675,0.0,1568274.2452725784,0.0,0.0,0.0,0.0,0.0,6273096.981090314,2352411.3679088675,0.0,0.0,18819290.943275865,0.0,0.0,12546193.96218391,69004066.7920115,0.0,6273096.981091955,0.0,0.0,0.0,40775130.3770977,0.0,53321324.33928162,12546193.96218391,6273096.981091955,0.0,70572341.0372814,0.0,0.0,70572341.0372814,366976173.39386326,0.0,14114468.20745628,0.0,0.0,0.0,162316384.38574722,0.0,7057234.10372814,225831491.31930047,35286170.5186407,42343404.62236884,0.0,213285297.3571404,25092387.92436945,0.0,250923879.2436945,928418353.2016696,0.0,87823357.73529308,0.0,0.0,0.0,564578728.2983127,0.0,25092387.92436945,589671116.2226821,75277163.77310835,75277163.77310835
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,7057234.10372814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7057234.10372814,0.0,0.0,0.0,42343404.62236884,0.0,0.0,0.0,0.0,12546193.962184723,0.0,0.0,0.0,12546193.962184723,0.0,0.0,0.0,12546193.962184723,12546193.962184723,0.0,0.0,138008133.58403197,0.0,0.0
8,31365.484905392423,0.0,0.0,31365.484905392423,0.0,0.0,0.0,0.0,31365.484905392423,0.0,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,784137.1226362892,0.0,0.0,0.0,0.0,0.0,0.0,3136548.4905459774,6273096.981091955,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,0.0,3136548.4905459774,0.0,0.0,7057234.10372814,35286170.5186407,0.0,0.0,14114468.20745628,7057234.10372814,0.0,0.0,0.0,7057234.10372814,0.0,21171702.31118442,0.0,0.0,14114468.20745628,0.0,0.0,12546193.962184723,188192909.43277088,0.0,12546193.962184723,112915745.65966251,100369551.6974778,0.0,0.0,0.0,25092387.92436945,0.0,75277163.77310835,0.0,0.0,37638581.886554174,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62730.96981078485,0.0,0.0,0.0,1568274.2452725784,0.0,0.0,784137.1226362892,0.0,8625508.348999182,0.0,0.0,0.0,0.0,1568274.2452725784,0.0,1568274.2452725784,0.0,784137.1226362892,0.0,6273096.981091955,0.0,0.0,56457872.82982759,0.0,56457872.82982759,0.0,0.0,0.0,0.0,15682742.452729886,0.0,25092387.92436782,3136548.4905459774,3136548.4905459774,0.0,14114468.20745628,42343404.62236884,0.0,162316384.38574722,0.0,169373618.48947537,0.0,0.0,0.0,0.0,70572341.0372814,0.0,0.0,84686809.24473768,7057234.10372814,35286170.5186407,0.0,37638581.886554174,125461939.62184726,0.0,426570594.7142807,0.0,414024400.752096,0.0,0.0,0.0,0.0,163100521.50840142,0.0,0.0,313654849.0546181,25092387.92436945,112915745.65966251
