index,pop_density_2015,pop_density_2016,pop_density_2017,pop_density_2018,pop_density_2019
134,245.93752,266.01266,269.46887,268.96063,247.43156
135,13919.422,14090.891,14485.212,14585.543,14379.029
136,689.64105,659.9403,690.94244,756.43854,742.9115
137,17166.674,16968.379,16698.395,17535.236,18140.562
138,5360.489,5399.449,5585.9976,5662.2876,5847.175
139,3082.1853,3089.5874,3088.7559,3059.9595,3179.2737
140,12004.048,12679.957,12576.451,12558.08,12466.154
141,16876.688,16692.592,16554.252,16857.312,16896.396
142,2765.1687,2856.6763,2925.0115,2773.447,2751.708
143,3392.5715,3196.4573,3148.0461,3397.3816,3435.356
144,3418.5698,3592.397,3699.4211,3561.5046,3865.2476
145,19536.031,20586.012,20877.049,20025.984,20689.092
146,6492.788,6994.526,7558.933,7181.408,8270.334
147,1348.5212,1340.2676,1393.7998,1400.4989,1388.7649
148,6110.018,6129.997,6159.465,6100.0757,6212.1587
149,42471.773,43739.848,44775.59,46422.625,47519.723
150,13110.864,13132.528,13350.85,13840.447,14061.934
151,13828.64,14055.086,14017.453,14626.242,14622.886
152,631.5303,672.9354,690.2546,653.8499,742.86804
153,762.92334,696.09064,676.8887,662.4756,710.3093
154,2851.0054,2648.9482,2724.366,2819.7222,2542.06
155,180.93822,136.06326,109.369415,140.55466,115.138245
156,1531.7559,1462.1136,1444.7708,1390.7377,1337.6046
